Year,Month,Day,Hour,Half,Season,dayOfWeek,isHoliday,isWorkday,rh_10,t_10,Value
2016,1,1,0,0,4,5,1,1,77.89294,-3.1860719,87.164
2016,1,1,0,1,4,5,1,1,82.331325,-3.7343202,97.668
2016,1,1,1,0,4,5,1,1,86.76971,-4.2825685,76.5
2016,1,1,1,1,4,5,1,1,88.1004,-4.65524925,75.3
2016,1,1,2,0,4,5,1,1,89.43109,-5.02793,66.236
2016,1,1,2,1,4,5,1,1,89.34129,-5.10654315,62.464
2016,1,1,3,0,4,5,1,1,89.25149,-5.1851563,88.436
2016,1,1,3,1,4,5,1,1,88.748945,-5.09714365,98.996
2016,1,1,4,0,4,5,1,1,88.2464,-5.009131,63.232
2016,1,1,4,1,4,5,1,1,88.14583,-5.005118,105.136
2016,1,1,5,0,4,5,1,1,88.04526,-5.001105,106.464
2016,1,1,5,1,4,5,1,1,88.461365,-5.137488,74.668
2016,1,1,6,0,4,5,1,1,88.87747,-5.273871,33.936
2016,1,1,6,1,4,5,1,1,89.889375,-5.5266328,48.596
2016,1,1,7,0,4,5,1,1,90.90128,-5.7793946,57.404
2016,1,1,7,1,4,5,1,1,86.960945,-5.53452155,72.3
2016,1,1,8,0,4,5,1,1,83.02061,-5.2896485,78.064
2016,1,1,8,1,4,5,1,1,76.471005,-4.20636605,70.168
2016,1,1,9,0,4,5,1,1,69.9214,-3.1230836,80.1
2016,1,1,9,1,4,5,1,1,64.233493,-1.745367485,100.4
2016,1,1,10,0,4,5,1,1,58.545586,-0.36765137,101.3
2016,1,1,10,1,4,5,1,1,53.166923,1.308496065,105.7
2016,1,1,11,0,4,5,1,1,47.78826,2.9846435,93.2
2016,1,1,11,1,4,5,1,1,44.7945835,4.25435775,97.2
2016,1,1,12,0,4,5,1,1,41.800907,5.524072,98.7
2016,1,1,12,1,4,5,1,1,40.624027,6.4616484,92.4
2016,1,1,13,0,4,5,1,1,39.447147,7.3992248,98.7
2016,1,1,13,1,4,5,1,1,44.0346985,7.6333099,90.2
2016,1,1,14,0,4,5,1,1,48.62225,7.867395,94.3
2016,1,1,14,1,4,5,1,1,55.2577515,7.04134515,90.2
2016,1,1,15,0,4,5,1,1,61.893253,6.2152953,88.7
2016,1,1,15,1,4,5,1,1,63.8907335,4.99445485,99.6
2016,1,1,16,0,4,5,1,1,65.888214,3.7736144,89.9
2016,1,1,16,1,4,5,1,1,67.962622,3.05524585,91.7
2016,1,1,17,0,4,5,1,1,70.03703,2.3368773,91.1
2016,1,1,17,1,4,5,1,1,70.429695,2.15361935,102.1
2016,1,1,18,0,4,5,1,1,70.82236,1.9703614,100.7
2016,1,1,18,1,4,5,1,1,69.751605,2.0468689,102
2016,1,1,19,0,4,5,1,1,68.68085,2.1233764,93.9
2016,1,1,19,1,4,5,1,1,67.289635,2.2006622,91.9
2016,1,1,20,0,4,5,1,1,65.89842,2.277948,94.6
2016,1,1,20,1,4,5,1,1,65.80418,2.12220155,89.3
2016,1,1,21,0,4,5,1,1,65.70994,1.9664551,89.3
2016,1,1,21,1,4,5,1,1,67.85032,1.524881,86.6
2016,1,1,22,0,4,5,1,1,69.9907,1.0833069,90.5
2016,1,1,22,1,4,5,1,1,73.63552,0.39176331,77.8
2016,1,1,23,0,4,5,1,1,77.28034,-0.29978028,75.1
2016,1,1,23,1,4,5,1,1,79.53214,-0.88834229,77
2016,1,2,0,0,4,6,1,0,81.78394,-1.4769043,81.9
2016,1,2,0,1,4,6,1,0,82.836035,-1.89548345,75.6
2016,1,2,1,0,4,6,1,0,83.88813,-2.3140626,76.4
2016,1,2,1,1,4,6,1,0,84.20232,-2.62464,76.1
2016,1,2,2,0,4,6,1,0,84.51651,-2.9352174,80
2016,1,2,2,1,4,6,1,0,84.567915,-3.23813485,75.8
2016,1,2,3,0,4,6,1,0,84.61932,-3.5410523,74.7
2016,1,2,3,1,4,6,1,0,84.47953,-3.84558715,80
2016,1,2,4,0,4,6,1,0,84.33974,-4.150122,74.8
2016,1,2,4,1,4,6,1,0,84.047135,-4.352469,75
2016,1,2,5,0,4,6,1,0,83.75453,-4.554816,74.3
2016,1,2,5,1,4,6,1,0,83.319345,-4.66972985,81.1
2016,1,2,6,0,4,6,1,0,82.88416,-4.7846437,75.7
2016,1,2,6,1,4,6,1,0,82.16555,-4.80634165,74.7
2016,1,2,7,0,4,6,1,0,81.44694,-4.8280396,75
2016,1,2,7,1,4,6,1,0,76.68239,-4.1458497,84.5
2016,1,2,8,0,4,6,1,0,71.91784,-3.4636598,79.4
2016,1,2,8,1,4,6,1,0,66.30788,-2.26204535,82.8
2016,1,2,9,0,4,6,1,0,60.69792,-1.0604309,93.9
2016,1,2,9,1,4,6,1,0,55.1328,0.39689025,96.4
2016,1,2,10,0,4,6,1,0,49.56768,1.8542114,92
2016,1,2,10,1,4,6,1,0,45.416195,3.30248405,96.2
2016,1,2,11,0,4,6,1,0,41.26471,4.7507567,100.6
2016,1,2,11,1,4,6,1,0,39.606775,5.704843,105.9
2016,1,2,12,0,4,6,1,0,37.94884,6.6589293,94.9
2016,1,2,12,1,4,6,1,0,37.7218375,7.32561635,103.5
2016,1,2,13,0,4,6,1,0,37.494835,7.9923034,98.1
2016,1,2,13,1,4,6,1,0,41.4454075,8.1110017,97.3
2016,1,2,14,0,4,6,1,0,45.39598,8.2297,94.9
2016,1,2,14,1,4,6,1,0,46.3398565,7.5775697,95.4
2016,1,2,15,0,4,6,1,0,47.283733,6.9254394,102.8
2016,1,2,15,1,4,6,1,0,48.1700115,6.1056152,96.9
2016,1,2,16,0,4,6,1,0,49.05629,5.285791,96.9
2016,1,2,16,1,4,6,1,0,50.381165,4.7641235,98.7
2016,1,2,17,0,4,6,1,0,51.70604,4.242456,105.1
2016,1,2,17,1,4,6,1,0,53.602215,3.92478325,95.4
2016,1,2,18,0,4,6,1,0,55.49839,3.6071105,100.8
2016,1,2,18,1,4,6,1,0,57.189333,3.36342765,99.5
2016,1,2,19,0,4,6,1,0,58.880276,3.1197448,106.9
2016,1,2,19,1,4,6,1,0,61.0090105,2.8403869,99.3
2016,1,2,20,0,4,6,1,0,63.137745,2.561029,98.9
2016,1,2,20,1,4,6,1,0,65.0329495,2.2715698,99.2
2016,1,2,21,0,4,6,1,0,66.928154,1.9821106,104.8
2016,1,2,21,1,4,6,1,0,69.138752,1.62349855,97.2
2016,1,2,22,0,4,6,1,0,71.34935,1.2648865,97.2
2016,1,2,22,1,4,6,1,0,73.164315,0.87395631,90.1
2016,1,2,23,0,4,6,1,0,74.97928,0.48302612,95.9
2016,1,2,23,1,4,6,1,0,75.5952425,0.12806091,86.4
2016,1,3,0,0,4,7,1,0,76.211205,-0.2269043,85.2
2016,1,3,0,1,4,7,1,0,76.6015425,-0.5997833,93.1
2016,1,3,1,0,4,7,1,0,76.99188,-0.9726623,83.8
2016,1,3,1,1,4,7,1,0,76.8123,-1.2967285,82.8
2016,1,3,2,0,4,7,1,0,76.63272,-1.6207947,83.3
2016,1,3,2,1,4,7,1,0,76.2637475,-1.886435,90
2016,1,3,3,0,4,7,1,0,75.894775,-2.1520753,82.7
2016,1,3,3,1,4,7,1,0,74.92057,-2.22969675,82.1
2016,1,3,4,0,4,7,1,0,73.946365,-2.3073182,79.3
2016,1,3,4,1,4,7,1,0,73.1763575,-2.3906312,84.9
2016,1,3,5,0,4,7,1,0,72.40635,-2.4739442,77.8
2016,1,3,5,1,4,7,1,0,72.685925,-2.72292185,79.6
2016,1,3,6,0,4,7,1,0,72.9655,-2.9718995,79.4
2016,1,3,6,1,4,7,1,0,74.23093,-3.220984,84.3
2016,1,3,7,0,4,7,1,0,75.49636,-3.4700685,79.6
2016,1,3,7,1,4,7,1,0,75.765855,-3.4841371,76.564
2016,1,3,8,0,4,7,1,0,76.03535,-3.4982057,86.6
2016,1,3,8,1,4,7,1,0,71.95817,-3.003119,98.6
2016,1,3,9,0,4,7,1,0,67.88099,-2.5080323,98.5
2016,1,3,9,1,4,7,1,0,62.047299,-1.67957155,105.2
2016,1,3,10,0,4,7,1,0,56.213608,-0.8511108,103.4
2016,1,3,10,1,4,7,1,0,52.488331,0.0789734,117.6
2016,1,3,11,0,4,7,1,0,48.763054,1.0090576,104.6
2016,1,3,11,1,4,7,1,0,46.148782,1.98603205,113.836
2016,1,3,12,0,4,7,1,0,43.53451,2.9630065,92.668
2016,1,3,12,1,4,7,1,0,41.913125,3.8056731,108.596
2016,1,3,13,0,4,7,1,0,40.29174,4.6483397,104.2
2016,1,3,13,1,4,7,1,0,40.483324,5.03757615,112.168
2016,1,3,14,0,4,7,1,0,40.674908,5.4268126,110.4
2016,1,3,14,1,4,7,1,0,47.508829,4.90773915,103.5
2016,1,3,15,0,4,7,1,0,54.34275,4.3886657,106.2
2016,1,3,15,1,4,7,1,0,56.032445,3.39046625,105.8
2016,1,3,16,0,4,7,1,0,57.72214,2.3922668,116.6
2016,1,3,16,1,4,7,1,0,57.946134,1.7364288,112.2
2016,1,3,17,0,4,7,1,0,58.170128,1.0805908,123
2016,1,3,17,1,4,7,1,0,58.0631655,0.84343872,119.5
2016,1,3,18,0,4,7,1,0,57.956203,0.60628664,132.8
2016,1,3,18,1,4,7,1,0,59.0478305,0.47692262,114.5
2016,1,3,19,0,4,7,1,0,60.139458,0.3475586,110.9
2016,1,3,19,1,4,7,1,0,63.3077165,0.1738833,110.8
2016,1,3,20,0,4,7,1,0,66.475975,0.000208,118.3
2016,1,3,20,1,4,7,1,0,67.9601325,-0.27403845,108.9
2016,1,3,21,0,4,7,1,0,69.44429,-0.5482849,108.5
2016,1,3,21,1,4,7,1,0,69.827145,-0.918692,108.7
2016,1,3,22,0,4,7,1,0,70.21,-1.2890991,116.3
