year,month,day,hour,half,equsid
2016,1,6,10,1,"{2, 3}"
2016,1,6,11,0,"{2, 3}"
2016,1,11,11,0,"{2, 3, 4}"
2016,1,11,11,1,"{2, 3, 4}"
2016,1,11,12,0,"{2, 3, 4}"
2016,1,11,12,1,"{2, 3, 4}"
2016,1,11,13,0,"{2, 3, 4}"
2016,1,11,13,1,"{2, 3, 4}"
2016,1,11,14,0,"{2, 3, 4}"
2016,1,11,15,0,"{2, 3, 4}"
2016,1,11,15,1,"{2, 3, 4}"
2016,3,19,11,1,"{2, 3, 4}"
2016,3,19,12,0,"{2, 3, 4}"
2016,3,19,12,1,"{2, 3, 4}"
2016,3,19,13,0,"{2, 3, 4}"
2016,4,16,17,1,"{2, 3, 4}"
2016,4,16,18,0,"{2, 3, 4}"
2016,4,16,18,1,"{2, 3, 4}"
2016,4,16,19,0,"{2, 3, 4}"
2016,4,16,19,1,"{2, 3, 4}"
2016,4,16,20,0,"{2, 3, 4}"
2016,4,16,20,1,"{2, 3, 4}"
2016,4,16,21,0,"{2, 3, 4}"
2016,4,16,21,1,"{2, 3, 4}"
2016,4,16,22,0,"{2, 3, 4}"
2016,4,16,22,1,"{2, 3, 4}"
2016,4,16,23,0,"{2, 3, 4}"
2016,4,16,23,1,"{2, 3, 4}"
2016,4,17,0,0,"{2, 3, 4}"
2016,4,17,0,1,"{2, 3, 4}"
2016,4,17,1,0,"{2, 3, 4}"
2016,4,17,1,1,"{2, 3, 4}"
2016,4,17,2,0,"{2, 3, 4}"
2016,4,17,2,1,"{2, 3, 4}"
2016,4,17,3,0,"{2, 3, 4}"
2016,4,17,3,1,"{2, 3, 4}"
2016,4,17,4,0,"{2, 3, 4}"
2016,4,17,4,1,"{2, 3, 4}"
2016,4,17,5,0,"{2, 3, 4}"
2016,4,17,5,1,"{2, 3, 4}"
2016,4,17,6,0,"{2, 3, 4}"
2016,4,17,6,1,"{2, 3, 4}"
2016,4,17,7,0,"{2, 3, 4}"
2016,4,17,7,1,"{2, 3, 4}"
2016,4,17,8,0,"{2, 3, 4}"
2016,4,17,8,1,"{2, 3, 4}"
2016,4,17,9,0,"{2, 3, 4}"
2016,4,17,9,1,"{1, 2, 3, 4}"
2016,4,17,10,0,"{1, 2, 3, 4}"
2016,4,17,10,1,"{2, 3, 4}"
2016,4,17,11,0,"{2, 3, 4}"
2016,4,17,11,1,"{2, 3, 4}"
2016,4,17,12,0,"{2, 3, 4}"
2016,4,17,12,1,"{2, 3, 4}"
2016,4,17,13,0,"{2, 3, 4}"
2016,4,17,13,1,"{2, 3, 4}"
2016,4,17,14,0,"{2, 3, 4}"
2016,4,17,14,1,"{2, 3, 4}"
2016,4,17,15,0,"{2, 3, 4}"
2016,4,17,15,1,"{2, 3, 4}"
2016,4,17,16,0,"{2, 3, 4}"
2016,4,17,16,1,"{2, 3, 4}"
2016,4,17,17,0,"{2, 3, 4}"
2016,4,17,17,1,"{2, 3, 4}"
2016,4,17,18,0,"{2, 3, 4}"
2016,4,17,18,1,"{2, 3, 4}"
2016,4,17,19,0,"{2, 3, 4}"
2016,4,17,19,1,"{2, 3, 4}"
2016,4,17,20,0,"{2, 3, 4}"
2016,4,17,20,1,"{2, 3, 4}"
2016,4,17,21,0,"{2, 3, 4}"
2016,4,17,21,1,"{2, 3, 4}"
2016,4,17,22,0,"{2, 3, 4}"
2016,4,17,22,1,"{2, 3, 4}"
2016,4,17,23,0,"{2, 3, 4}"
2016,4,17,23,1,"{2, 3, 4}"
2016,4,18,0,0,"{2, 3, 4}"
2016,4,18,0,1,"{2, 3, 4}"
2016,4,18,1,0,"{2, 3, 4}"
2016,4,18,1,1,"{2, 3, 4}"
2016,4,18,2,0,"{2, 3, 4}"
2016,4,18,2,1,"{2, 3, 4}"
2016,4,18,3,0,"{2, 3, 4}"
2016,4,18,3,1,"{2, 3, 4}"
2016,4,18,4,0,"{2, 3, 4}"
2016,4,18,4,1,"{2, 3, 4}"
2016,4,18,5,0,"{2, 3, 4}"
2016,4,18,5,1,"{2, 3, 4}"
2016,4,18,6,0,"{2, 3, 4}"
2016,4,18,6,1,"{2, 3, 4}"
2016,4,18,7,0,"{2, 3, 4}"
