year,month,day,hour,half,equsid
2018,1,11,14,1,"{2, 3, 4}"
2018,1,11,14,1,"{2, 3, 4}"
2018,1,11,14,1,"{2, 3, 4}"
2018,1,11,15,0,"{2, 3, 4}"
2018,1,11,15,0,"{2, 3, 4}"
2018,1,11,15,0,"{2, 3, 4}"
2018,1,11,15,1,"{2, 3, 4}"
2018,1,11,15,1,"{2, 3, 4}"
2018,1,11,15,1,"{2, 3, 4}"
2018,1,11,16,0,"{3, 4}"
2018,1,11,16,0,"{3, 4}"
2018,1,12,10,1,"{2, 3, 4}"
2018,1,12,10,1,"{2, 3, 4}"
2018,1,12,10,1,"{2, 3, 4}"
2018,1,12,11,0,"{2, 3, 4}"
2018,1,12,11,0,"{2, 3, 4}"
2018,1,12,11,0,"{2, 3, 4}"
2018,1,12,11,1,"{2, 3, 4}"
2018,1,12,11,1,"{2, 3, 4}"
2018,1,12,11,1,"{2, 3, 4}"
2018,1,12,12,0,"{2, 3, 4}"
2018,1,12,12,0,"{2, 3, 4}"
2018,1,12,12,0,"{2, 3, 4}"
2018,1,12,12,1,"{2, 3, 4}"
2018,1,12,12,1,"{2, 3, 4}"
2018,1,12,12,1,"{2, 3, 4}"
2018,1,12,13,0,"{2, 3, 4}"
2018,1,12,13,0,"{2, 3, 4}"
2018,1,12,13,0,"{2, 3, 4}"
2018,1,12,13,1,"{2, 3, 4}"
2018,1,12,13,1,"{2, 3, 4}"
2018,1,12,13,1,"{2, 3, 4}"
2018,1,12,14,0,"{2, 3, 4}"
2018,1,12,14,0,"{2, 3, 4}"
2018,1,12,14,0,"{2, 3, 4}"
2018,1,12,14,1,"{2, 3, 4}"
2018,1,12,14,1,"{2, 3, 4}"
2018,1,12,14,1,"{2, 3, 4}"
2018,1,12,15,0,"{2, 3, 4}"
2018,1,12,15,0,"{2, 3, 4}"
2018,1,12,15,0,"{2, 3, 4}"
2018,1,12,15,1,"{2, 3, 4}"
2018,1,12,15,1,"{2, 3, 4}"
2018,1,12,15,1,"{2, 3, 4}"
