"RecNo","Name","Data_Time","Value","Type","Equsid","Energysid","Expertsid","compsid","posisid","buildingsid","Load_Time","areaenergysid"
"1035739621","JF_2ATC_SC701109_EC","1/5/2018 00:00:00","0","1","150300000109","32",,,"4000","1503","1/5/2018 00:34:11",
"1035739622","JF_2ATC_SC701110_EC","1/5/2018 00:00:00","0","1","150300000110","32",,,"4000","1503","1/5/2018 00:34:11",
"1035739623","JF_2ATC_SC701111_EC","1/5/2018 00:00:00","0","1","150300000111","32",,,"4000","1503","1/5/2018 00:34:11",
"1035739624","JF_2ATC_SC701112_EC","1/5/2018 00:00:00","0","1","150300000112","32",,,"4000","1503","1/5/2018 00:34:11",
"1035739968","JF_2AES_SC100478_EC","1/5/2018 00:00:00","0","1","150500000078","32",,,"6000","1505","1/5/2018 00:34:18",
"1035739971","JF_2AES_SC100481_EC","1/5/2018 00:00:00","65.6","1","150500000081","32",,,"6000","1505","1/5/2018 00:34:18",
"1035755185","JF_2ATC_SC701109_EC","1/5/2018 00:30:00","0","1","150300000109","32",,,"4000","1503","1/5/2018 01:04:25",
"1035755186","JF_2ATC_SC701110_EC","1/5/2018 00:30:00","0","1","150300000110","32",,,"4000","1503","1/5/2018 01:04:25",
"1035755187","JF_2ATC_SC701111_EC","1/5/2018 00:30:00","0","1","150300000111","32",,,"4000","1503","1/5/2018 01:04:25",
"1035755188","JF_2ATC_SC701112_EC","1/5/2018 00:30:00","0","1","150300000112","32",,,"4000","1503","1/5/2018 01:04:25",
"1035755532","JF_2AES_SC100478_EC","1/5/2018 00:30:00","0","1","150500000078","32",,,"6000","1505","1/5/2018 01:04:31",
"1035755535","JF_2AES_SC100481_EC","1/5/2018 00:30:00","66.1","1","150500000081","32",,,"6000","1505","1/5/2018 01:04:31",
"1035770749","JF_2ATC_SC701109_EC","1/5/2018 01:00:00","0","1","150300000109","32",,,"4000","1503","1/5/2018 01:33:51",
"1035770750","JF_2ATC_SC701110_EC","1/5/2018 01:00:00","0","1","150300000110","32",,,"4000","1503","1/5/2018 01:33:51",
"1035770751","JF_2ATC_SC701111_EC","1/5/2018 01:00:00","0","1","150300000111","32",,,"4000","1503","1/5/2018 01:33:51",
"1035770752","JF_2ATC_SC701112_EC","1/5/2018 01:00:00","0","1","150300000112","32",,,"4000","1503","1/5/2018 01:33:51",
"1035771096","JF_2AES_SC100478_EC","1/5/2018 01:00:00","0","1","150500000078","32",,,"6000","1505","1/5/2018 01:33:57",
"1035771099","JF_2AES_SC100481_EC","1/5/2018 01:00:00","66.4","1","150500000081","32",,,"6000","1505","1/5/2018 01:33:57",
"1035786313","JF_2ATC_SC701109_EC","1/5/2018 01:30:00","0","1","150300000109","32",,,"4000","1503","1/5/2018 02:03:49",
"1035786314","JF_2ATC_SC701110_EC","1/5/2018 01:30:00","0","1","150300000110","32",,,"4000","1503","1/5/2018 02:03:49",
"1035786315","JF_2ATC_SC701111_EC","1/5/2018 01:30:00","0","1","150300000111","32",,,"4000","1503","1/5/2018 02:03:49",
"1035786316","JF_2ATC_SC701112_EC","1/5/2018 01:30:00","0","1","150300000112","32",,,"4000","1503","1/5/2018 02:03:49",
"1035786660","JF_2AES_SC100478_EC","1/5/2018 01:30:00","0","1","150500000078","32",,,"6000","1505","1/5/2018 02:03:54",
"1035786663","JF_2AES_SC100481_EC","1/5/2018 01:30:00","66.5","1","150500000081","32",,,"6000","1505","1/5/2018 02:03:54",
"1035801877","JF_2ATC_SC701109_EC","1/5/2018 02:00:00","0","1","150300000109","32",,,"4000","1503","1/5/2018 02:33:57",
"1035801878","JF_2ATC_SC701110_EC","1/5/2018 02:00:00","0","1","150300000110","32",,,"4000","1503","1/5/2018 02:33:57",
"1035801879","JF_2ATC_SC701111_EC","1/5/2018 02:00:00","0","1","150300000111","32",,,"4000","1503","1/5/2018 02:33:57",
"1035801880","JF_2ATC_SC701112_EC","1/5/2018 02:00:00","0","1","150300000112","32",,,"4000","1503","1/5/2018 02:33:57",
"1035802224","JF_2AES_SC100478_EC","1/5/2018 02:00:00","0","1","150500000078","32",,,"6000","1505","1/5/2018 02:34:02",
"1035802227","JF_2AES_SC100481_EC","1/5/2018 02:00:00","66.6","1","150500000081","32",,,"6000","1505","1/5/2018 02:34:02",
"1035817441","JF_2ATC_SC701109_EC","1/5/2018 02:30:00","0","1","150300000109","32",,,"4000","1503","1/5/2018 03:03:53",
"1035817442","JF_2ATC_SC701110_EC","1/5/2018 02:30:00","0","1","150300000110","32",,,"4000","1503","1/5/2018 03:03:53",
"1035817443","JF_2ATC_SC701111_EC","1/5/2018 02:30:00","0","1","150300000111","32",,,"4000","1503","1/5/2018 03:03:53",
"1035817444","JF_2ATC_SC701112_EC","1/5/2018 02:30:00","0","1","150300000112","32",,,"4000","1503","1/5/2018 03:03:53",
"1035817788","JF_2AES_SC100478_EC","1/5/2018 02:30:00","0","1","150500000078","32",,,"6000","1505","1/5/2018 03:03:58",
"1035817791","JF_2AES_SC100481_EC","1/5/2018 02:30:00","66.4","1","150500000081","32",,,"6000","1505","1/5/2018 03:03:58",
