"RecNo","Name","Data_Time","Value","Type","Equsid","Energysid","Expertsid","compsid","posisid","buildingsid","Load_Time","areaenergysid"
"674671525","JF_2ATC_SC701109_EC","1/3/2017 00:00:00","141.312","1","150300000109","32",,,"4000","1503","1/3/2017 08:15:19",
"674671526","JF_2ATC_SC701110_EC","1/3/2017 00:00:00","0","1","150300000110","32",,,"4000","1503","1/3/2017 08:15:19",
"674671527","JF_2ATC_SC701111_EC","1/3/2017 00:00:00","0","1","150300000111","32",,,"4000","1503","1/3/2017 08:15:19",
"674671528","JF_2ATC_SC701112_EC","1/3/2017 00:00:00","0","1","150300000112","32",,,"4000","1503","1/3/2017 08:15:19",
"674676325","JF_2AES_SC100478_EC","1/3/2017 00:00:00","0","1","150500000078","32",,,"6000","1505","1/3/2017 08:29:02",
"674676327","JF_2AES_SC100481_EC","1/3/2017 00:00:00","55.8","1","150500000081","32",,,"6000","1505","1/3/2017 08:29:02",
"674672036","JF_2ATC_SC701109_EC","1/3/2017 00:30:00","249.344","1","150300000109","32",,,"4000","1503","1/3/2017 08:15:40",
"674672037","JF_2ATC_SC701110_EC","1/3/2017 00:30:00","0","1","150300000110","32",,,"4000","1503","1/3/2017 08:15:40",
"674672038","JF_2ATC_SC701111_EC","1/3/2017 00:30:00","0","1","150300000111","32",,,"4000","1503","1/3/2017 08:15:40",
"674672039","JF_2ATC_SC701112_EC","1/3/2017 00:30:00","0","1","150300000112","32",,,"4000","1503","1/3/2017 08:15:40",
"674676452","JF_2AES_SC100478_EC","1/3/2017 00:30:00","0","1","150500000078","32",,,"6000","1505","1/3/2017 08:29:16",
"674676454","JF_2AES_SC100481_EC","1/3/2017 00:30:00","155.9","1","150500000081","32",,,"6000","1505","1/3/2017 08:29:16",
"674672547","JF_2ATC_SC701109_EC","1/3/2017 01:00:00","275.456","1","150300000109","32",,,"4000","1503","1/3/2017 08:15:59",
"674672548","JF_2ATC_SC701110_EC","1/3/2017 01:00:00","0","1","150300000110","32",,,"4000","1503","1/3/2017 08:15:59",
"674672549","JF_2ATC_SC701111_EC","1/3/2017 01:00:00","0","1","150300000111","32",,,"4000","1503","1/3/2017 08:15:59",
"674672550","JF_2ATC_SC701112_EC","1/3/2017 01:00:00","0","1","150300000112","32",,,"4000","1503","1/3/2017 08:15:59",
"674676579","JF_2AES_SC100478_EC","1/3/2017 01:00:00","0","1","150500000078","32",,,"6000","1505","1/3/2017 08:29:31",
"674676581","JF_2AES_SC100481_EC","1/3/2017 01:00:00","182.5","1","150500000081","32",,,"6000","1505","1/3/2017 08:29:31",
"674673058","JF_2ATC_SC701109_EC","1/3/2017 01:30:00","260.864","1","150300000109","32",,,"4000","1503","1/3/2017 08:16:19",
"674673059","JF_2ATC_SC701110_EC","1/3/2017 01:30:00","0","1","150300000110","32",,,"4000","1503","1/3/2017 08:16:19",
"674673060","JF_2ATC_SC701111_EC","1/3/2017 01:30:00","0","1","150300000111","32",,,"4000","1503","1/3/2017 08:16:19",
"674673061","JF_2ATC_SC701112_EC","1/3/2017 01:30:00","0","1","150300000112","32",,,"4000","1503","1/3/2017 08:16:19",
"674676706","JF_2AES_SC100478_EC","1/3/2017 01:30:00","0","1","150500000078","32",,,"6000","1505","1/3/2017 08:29:45",
"674676708","JF_2AES_SC100481_EC","1/3/2017 01:30:00","160.6","1","150500000081","32",,,"6000","1505","1/3/2017 08:29:45",
"674673569","JF_2ATC_SC701109_EC","1/3/2017 02:00:00","238.592","1","150300000109","32",,,"4000","1503","1/3/2017 08:16:37",
"674673570","JF_2ATC_SC701110_EC","1/3/2017 02:00:00","0","1","150300000110","32",,,"4000","1503","1/3/2017 08:16:37",
"674673571","JF_2ATC_SC701111_EC","1/3/2017 02:00:00","0","1","150300000111","32",,,"4000","1503","1/3/2017 08:16:37",
"674673572","JF_2ATC_SC701112_EC","1/3/2017 02:00:00","0","1","150300000112","32",,,"4000","1503","1/3/2017 08:16:37",
"674676833","JF_2AES_SC100478_EC","1/3/2017 02:00:00","0","1","150500000078","32",,,"6000","1505","1/3/2017 08:29:59",
"674676835","JF_2AES_SC100481_EC","1/3/2017 02:00:00","131.9","1","150500000081","32",,,"6000","1505","1/3/2017 08:29:59",
"674674080","JF_2ATC_SC701109_EC","1/3/2017 02:30:00","305.92","1","150300000109","32",,,"4000","1503","1/3/2017 08:16:58",
"674674081","JF_2ATC_SC701110_EC","1/3/2017 02:30:00","0","1","150300000110","32",,,"4000","1503","1/3/2017 08:16:58",
"674674082","JF_2ATC_SC701111_EC","1/3/2017 02:30:00","0","1","150300000111","32",,,"4000","1503","1/3/2017 08:16:58",
"674674083","JF_2ATC_SC701112_EC","1/3/2017 02:30:00","0","1","150300000112","32",,,"4000","1503","1/3/2017 08:16:58",
"674676960","JF_2AES_SC100478_EC","1/3/2017 02:30:00","0","1","150500000078","32",,,"6000","1505","1/3/2017 08:30:18",
"674676962","JF_2AES_SC100481_EC","1/3/2017 02:30:00","187","1","150500000081","32",,,"6000","1505","1/3/2017 08:30:18",
"674674591","JF_2ATC_SC701109_EC","1/3/2017 03:00:00","709.376","1","150300000109","32",,,"4000","1503","1/3/2017 08:17:17",
"674674592","JF_2ATC_SC701110_EC","1/3/2017 03:00:00","0","1","150300000110","32",,,"4000","1503","1/3/2017 08:17:17",
"674674593","JF_2ATC_SC701111_EC","1/3/2017 03:00:00","0","1","150300000111","32",,,"4000","1503","1/3/2017 08:17:17",
"674674594","JF_2ATC_SC701112_EC","1/3/2017 03:00:00","0","1","150300000112","32",,,"4000","1503","1/3/2017 08:17:17",
"674677087","JF_2AES_SC100478_EC","1/3/2017 03:00:00","0","1","150500000078","32",,,"6000","1505","1/3/2017 08:30:39",
"674677089","JF_2AES_SC100481_EC","1/3/2017 03:00:00","620.7","1","150500000081","32",,,"6000","1505","1/3/2017 08:30:39",
"674675102","JF_2ATC_SC701109_EC","1/3/2017 03:30:00","852.224","1","150300000109","32",,,"4000","1503","1/3/2017 08:17:36",
"674675103","JF_2ATC_SC701110_EC","1/3/2017 03:30:00","0","1","150300000110","32",,,"4000","1503","1/3/2017 08:17:36",
"674675104","JF_2ATC_SC701111_EC","1/3/2017 03:30:00","0","1","150300000111","32",,,"4000","1503","1/3/2017 08:17:36",
"674675105","JF_2ATC_SC701112_EC","1/3/2017 03:30:00","0","1","150300000112","32",,,"4000","1503","1/3/2017 08:17:36",
"674677214","JF_2AES_SC100478_EC","1/3/2017 03:30:00","0","1","150500000078","32",,,"6000","1505","1/3/2017 08:31:00",
"674677216","JF_2AES_SC100481_EC","1/3/2017 03:30:00","759.7","1","150500000081","32",,,"6000","1505","1/3/2017 08:31:00",
"674860811","JF_2ATC_SC701109_EC","1/3/2017 04:00:00","719.104","1","150300000109","32",,,"4000","1503","1/3/2017 12:19:16",
"674860812","JF_2ATC_SC701110_EC","1/3/2017 04:00:00","0","1","150300000110","32",,,"4000","1503","1/3/2017 12:19:16",
"674860813","JF_2ATC_SC701111_EC","1/3/2017 04:00:00","0","1","150300000111","32",,,"4000","1503","1/3/2017 12:19:16",
"674860814","JF_2ATC_SC701112_EC","1/3/2017 04:00:00","0","1","150300000112","32",,,"4000","1503","1/3/2017 12:19:16",
"674865805","JF_2AES_SC100478_EC","1/3/2017 04:00:00","0","1","150500000078","32",,,"6000","1505","1/3/2017 12:31:49",
"674865807","JF_2AES_SC100481_EC","1/3/2017 04:00:00","643.5","1","150500000081","32",,,"6000","1505","1/3/2017 12:31:49",
"674861322","JF_2ATC_SC701109_EC","1/3/2017 04:30:00","628.992","1","150300000109","32",,,"4000","1503","1/3/2017 12:19:42",
"674861323","JF_2ATC_SC701110_EC","1/3/2017 04:30:00","0","1","150300000110","32",,,"4000","1503","1/3/2017 12:19:42",
"674861324","JF_2ATC_SC701111_EC","1/3/2017 04:30:00","0","1","150300000111","32",,,"4000","1503","1/3/2017 12:19:42",
"674861325","JF_2ATC_SC701112_EC","1/3/2017 04:30:00","0","1","150300000112","32",,,"4000","1503","1/3/2017 12:19:42",
"674865932","JF_2AES_SC100478_EC","1/3/2017 04:30:00","0","1","150500000078","32",,,"6000","1505","1/3/2017 12:32:10",
"674865934","JF_2AES_SC100481_EC","1/3/2017 04:30:00","489.4","1","150500000081","32",,,"6000","1505","1/3/2017 12:32:10",
"674861833","JF_2ATC_SC701109_EC","1/3/2017 05:00:00","790.272","1","150300000109","32",,,"4000","1503","1/3/2017 12:20:05",
"674861834","JF_2ATC_SC701110_EC","1/3/2017 05:00:00","0","1","150300000110","32",,,"4000","1503","1/3/2017 12:20:05",
"674861835","JF_2ATC_SC701111_EC","1/3/2017 05:00:00","0","1","150300000111","32",,,"4000","1503","1/3/2017 12:20:05",
"674861836","JF_2ATC_SC701112_EC","1/3/2017 05:00:00","0","1","150300000112","32",,,"4000","1503","1/3/2017 12:20:05",
"674866059","JF_2AES_SC100478_EC","1/3/2017 05:00:00","0","1","150500000078","32",,,"6000","1505","1/3/2017 12:32:26",
